objectid,display_template,object_location,title,narrator_name,narrator_biography,interviewer_name,interview_number,date,description,resource_type,call_number,interview_duration,segment_1_duration,segment_2_duration,segment_3_duration,segment_4_duration,segment_5_duration,segment_1_transcript,segment_2_transcript,segment_3_transcript,segment_4_transcript,segment_5_transcript,topics,people,organizations,places
mn_05_19_2009,record,https://hdl.handle.net/2333.1/f7m0cgkp,"Marion Nestle, Interview 1: May 19, 2009",Marion Nestle,"Marion Nestle is the premiere food studies professional in the United States. She unequivocally transformed the field when, in 1988, she took over the Department of Home Economics and Nutrition at New York University, and soon turned it into a ground-breaking academic program in nutrition, food studies, and public health.

Her path traces a childhood without much parental encouragement, academic successes and multiple degrees, a pre-second wave feminism early career filled with the common restrictions and frustrations women then faced, and an adulthood at the highest rank of academic and personal achievement.

A much sought-after speaker with particular interests in food politics, food marketing, and nutrition, she has written five books, and balances a schedule that includes teaching; research and writing; speaking; and an active highly-read blog (www.foodpolitics.com).

This interview covers her early life and education; her two marriages; the challenges of balancing motherhood and a career; the responsibilities and challenges she faced writing the 1988 Surgeon General's Report on Nutrition and Health; her books; her years at New York University; and the development of the University's Food Studies Department.",Judith Weinraub,1,2009-05-19,"Judith Weinraub interviews Marion Nestle about her early life and education, on balancing her career and motherhood, and what led her to working on the Surgeon General's report for Nutrition and Health.",oral histories (literary works),MSS_309.ref76.1,"1 hour, 48 minutes",1:47:20,,,,,https://sites.dlib.nyu.edu/media/api/v0/service/fileserver/av/fales/beard/Nestle_Marion-interview_1/Nestle_Marion-2009_05_19-interview.precision.en.txt,,,,,"Cooking;Feminism;Gender;Government policy, law and legislation;Health and nutrition;Political, social, and cultural movements","Brody, Jane E.;McGinnis, Michael","Brandeis University;University of California, Berkeley;New York University",California
mn_05_26_2009,record,https://hdl.handle.net/2333.1/9ghx3g16,"Marion Nestle, Interview 2: May 26, 2009",Marion Nestle,"Marion Nestle is the premiere food studies professional in the United States. She unequivocally transformed the field when, in 1988, she took over the Department of Home Economics and Nutrition at New York University, and soon turned it into a ground-breaking academic program in nutrition, food studies, and public health.

Her path traces a childhood without much parental encouragement, academic successes and multiple degrees, a pre-second wave feminism early career filled with the common restrictions and frustrations women then faced, and an adulthood at the highest rank of academic and personal achievement.

A much sought-after speaker with particular interests in food politics, food marketing, and nutrition, she has written five books, and balances a schedule that includes teaching; research and writing; speaking; and an active highly-read blog (www.foodpolitics.com).

This interview covers her early life and education; her two marriages; the challenges of balancing motherhood and a career; the responsibilities and challenges she faced writing the 1988 Surgeon General's Report on Nutrition and Health; her books; her years at New York University; and the development of the University's Food Studies Department.",Judith Weinraub,2,2009-05-26,"Judith Weinraub interviews Marion Nestle about how her teaching and working experiences led her to writing about the history of dietary guidelines, public health, and food politics.",oral histories (literary works),MSS_309.ref78.1,45 minutes,0:41:17,0:03:24,,,,https://sites.dlib.nyu.edu/media/api/v0/service/fileserver/av/fales/beard/Nestle_Marion-interview_2/Nestle_Marion-2009_05_26-a-interview.precision.en.txt,https://sites.dlib.nyu.edu/media/api/v0/service/fileserver/av/fales/beard/Nestle_Marion-interview_2/Nestle_Marion-2009_05_26-b-interview.precision.en.txt,,,,"Agriculture;Cooking history;Food habits;Food industry and trade;Government policy, law and legislation;Health and nutrition;Publishing","Koop, C. Everett (Charles Everett), 1916-",Newsweek;American Dietetic Association;United States. Dept. of Agriculture;United States. Dept. of Health and Human Services,
mn_06_29_2009,record,https://hdl.handle.net/2333.1/5qfttfhq,"Marion Nestle, Interview 3: June 29, 2009",Marion Nestle,"Marion Nestle is the premiere food studies professional in the United States. She unequivocally transformed the field when, in 1988, she took over the Department of Home Economics and Nutrition at New York University, and soon turned it into a ground-breaking academic program in nutrition, food studies, and public health.

Her path traces a childhood without much parental encouragement, academic successes and multiple degrees, a pre-second wave feminism early career filled with the common restrictions and frustrations women then faced, and an adulthood at the highest rank of academic and personal achievement.

A much sought-after speaker with particular interests in food politics, food marketing, and nutrition, she has written five books, and balances a schedule that includes teaching; research and writing; speaking; and an active highly-read blog (www.foodpolitics.com).

This interview covers her early life and education; her two marriages; the challenges of balancing motherhood and a career; the responsibilities and challenges she faced writing the 1988 Surgeon General's Report on Nutrition and Health; her books; her years at New York University; and the development of the University's Food Studies Department.",Judith Weinraub,3,2009-06-29,"Judith Weinraub interviews Marion Nestle about the field of food studies, Nestle's role in building a Food Studies department at New York University and the influence she's had on the field in general.",oral histories (literary works),MSS_309.ref81.1,56 minutes,0:56:25,,,,,https://sites.dlib.nyu.edu/media/api/v0/service/fileserver/av/fales/beard/Nestle_Marion-interview_3/Nestle_Marion-2009_06_29-interview.precision.en.txt,,,,,"Cooking - study and teaching;Cooking history;Food writing;Government policy, law and legislation;Health and nutrition;Publishing;Urban Agriculture","Bentley, Amy, 1962-;Wolf, Clark;Berg, Jennifer;Petrick, Gabriella M.;Pollan, Michael;Waters, Alice;Child, Julia;Taylor, Marvin J.",Boston University;New York University,California
tc_04_19_2011,record,https://hdl.handle.net/2333.1/15dv426m,"Tom Colicchio, Interview 1: April 19, 2011",Tom Colicchio,"One of the byproducts of the food revolution is the increasing respect for chefs. Along with that and the attention to the profession given by the media, a new category has emerged—the Celebrity Chef. No one of them is better-known than Tom Colicchio. Already a highly respected and well-reviewed chef and restaurateur when he became the head judge of the wildly popular television program Top Chef, Colicchio is probably the best-known chef in America.

As a young teenager, he started cooking at home, discovered he enjoyed it and worked his way through a swim club food concession, a Burger King, and increasingly more ambitious restaurants in his native New Jersey before heading to Manhattan. His teachers were his on-the-jobs training, the chefs he worked for there and in New York and books, especially Jacques Pepin's on method and technique.

He came to wide attention at the Gramercy Tavern in New York's Flatiron district, and then at Craft nearby.

The recipient of five James Beard Foundation awards, today Colichio and his cooking can be seen not only at the Craft restaurants (including Craftbar and Craftsteak) in New York, LA, Dallas, and Las Vegas), but also at Colicchio and Sons in Manhattan's Meatpacking District. In 2003, Colicchio and two partners founded the more affordable sandwich and salad outlets, 'wichcraft. In 2010 his work at Craft was honored when the Beard Foundation named him the country's Outstanding Chef.

Colicchio is married to his frequent writing partner, the documentary filmmaker Lori Silverbush.",Judith Weinraub,1,2011-04-19,Judith Weinraub interviews Tom Colicchio about his childhood and early years in the food industry before opening the acclaimed Gramercy Tavern in New York's Flatiron district.,oral histories (literary works),MSS_309.ref135.2,"1 hour, 30 minutes",1:30:33,,,,,https://sites.dlib.nyu.edu/media/api/v0/service/fileserver/av/fales/beard/Colicchio_Tom-interview_1/Colicchio_Tom-2011_04_19-interview.precision.en.txt,,,,,Cooking - American;Cooking - French;Cooking - Italian;Cooking - study and teaching;Food industry and trade;Food writing;Restaurants,"Meyer, Danny;Waxman, Jonathan. 1950-;Keller, Thomas, 1955-;Wine, Barry;Silverbush, Lori",Colicchio & Sons (Restaurant);Craft (Restaurant);Gramercy Tavern;Mondrian (Restaurant),"Union Square (New York, N.Y.);New York, N.Y."
tc_05_12_2011,record,https://hdl.handle.net/2333.1/tdz08mzd,"Tom Colicchio, Interview 2: May 12, 2011",Tom Colicchio,"One of the byproducts of the food revolution is the increasing respect for chefs. Along with that and the attention to the profession given by the media, a new category has emerged—the Celebrity Chef. No one of them is better-known than Tom Colicchio. Already a highly respected and well-reviewed chef and restaurateur when he became the head judge of the wildly popular television program Top Chef, Colicchio is probably the best-known chef in America.

As a young teenager, he started cooking at home, discovered he enjoyed it and worked his way through a swim club food concession, a Burger King, and increasingly more ambitious restaurants in his native New Jersey before heading to Manhattan. His teachers were his on-the-jobs training, the chefs he worked for there and in New York and books, especially Jacques Pepin's on method and technique.

He came to wide attention at the Gramercy Tavern in New York's Flatiron district, and then at Craft nearby.

The recipient of five James Beard Foundation awards, today Colichio and his cooking can be seen not only at the Craft restaurants (including Craftbar and Craftsteak) in New York, LA, Dallas, and Las Vegas), but also at Colicchio and Sons in Manhattan's Meatpacking District. In 2003, Colicchio and two partners founded the more affordable sandwich and salad outlets, 'wichcraft. In 2010 his work at Craft was honored when the Beard Foundation named him the country's Outstanding Chef.

Colicchio is married to his frequent writing partner, the documentary filmmaker Lori Silverbush.",Judith Weinraub,2,2011-05-12,"Judith Weinraub interviews Tom Colicchio how the creation and success of Gramercy Tavern led to him becoming the head judge of the popular American television show, Top Chef.",oral histories (literary works),MSS_309.ref205.1,"1 hour, 5 minutes",0:05:07,0:12:11,0:47:40,,,https://sites.dlib.nyu.edu/media/api/v0/service/fileserver/av/fales/beard/Colicchio_Tom-interview_2/Colicchio_Tom-2011_05_12-a-interview.precision.en.txt,https://sites.dlib.nyu.edu/media/api/v0/service/fileserver/av/fales/beard/Colicchio_Tom-interview_2/Colicchio_Tom-2011_05_12-b-interview.precision.en.txt,https://sites.dlib.nyu.edu/media/api/v0/service/fileserver/av/fales/beard/Colicchio_Tom-interview_2/Colicchio_Tom-2011_05_12-c-interview.precision.en.txt,,,Cooking;Cooking Shows;Dinners and dining;Food industry and trade;Food services and programs;Restaurants;Television,"Keller, Thomas, 1955-;Meyer, Danny;Silverbush, Lori",Gramercy Tavern;Top chef (Television Program);Food Research and Action Center,"High Line (New York, N.Y.);Craft (Restaurant);Mondrian (Restaurant);New York, N.Y."
bf_03_18_2009,record,https://hdl.handle.net/2333.1/7pvmcw16,"Betty Fussell, Interview 1: March 18, 2009",Betty Fussell,"The distinguished historian Betty Fussell was one of the first American writers to focus on food as a legitimate subject of scientific, social, and anthropological inquiry. In her 1999, The Story of Corn: the Myths and History, the Culture and Agriculture, the Art and Science of America's Quintessential Crop, Fussel used the history of corn to tell a distinctly American story. She also created a genre, now much imitated by other writers, focused on a single foodstuff. Born in 1927 in California and reared there, she has made her home in New York's Greenwich Village for decades. She lives around the corner from James Beard's cooking school run out of his home. Her only contact was a week's worth of classes there, but they share an abiding passion for American food. Her essays in literary journals, major newspapers, national magazines and encyclopedias are written with a grace few food writers can match. She also lectures at museums, universities, state fairs, corn festivals, historical societies and culinary groups. In 1999, her food memoir, My Kitchen Wars, traced her life from her childhoood through her marriage to a college sweetheart, her travails as an academic wife, her own academic career, the women's movement, and her wider success when she found her essential subject: food.",Judith Weinraub,1,2009-03-18,"Betty Fussell discusses her life starting with her upbringing in California, her heritage, habits developing from childhood throughout her time in school and the beginning of her marriage. Fussell touches on her relationship with food throughout this interview, eating, cooking, and feelings about it.",oral histories (literary works),MSS_309.ref22.1,"1 hour, 51 minutes",0:49:05,1:01:51,,,,https://sites.dlib.nyu.edu/media/api/v0/service/fileserver/av/fales/beard/Fussell_Betty-interview_1/Fussell_Betty-2009_03_18-a-interview.precision.en.txt,https://sites.dlib.nyu.edu/media/api/v0/service/fileserver/av/fales/beard/Fussell_Betty-interview_1/Fussell_Betty-2009_03_18-b-interview.precision.en.txt,,,,Cooking - American;Cooking - French;Cooking - study and teaching;Cooking history;Dinners and dining;Food habits;Gender,"Beard, James, 1903-1985;Bocuse, Paul, 1926-;Child, Julia;Claiborne, Craig;David, Elizabeth, 1913-1992;Fisher, M. F. K. (Mary Frances Kennedy), 1908-1992;Fussell, Betty Harper;Fussell, Paul, 1924-;Jones, Judith, 1924 -;Hodgson, Moira;Normand, Mabel, 1894-1930","Alfred A. Knopf, Inc.;American Institute of Wine & Food;Doubleday and Company, Inc.;International Association of Culinary Professionals;Ordre international des disciples d'Auguste Escoffier;Ticknor and Fields;Times Books (New York, N.Y.);Viking Press","California;Midwest (America);Paris (France);Washington Square (New York, N.Y.);Greenwich Village (New York, N.Y.);New York, N.Y."
bf_03_24_2009,record,https://hdl.handle.net/2333.1/3xsj3vhv,"Betty Fussell, Interview 2: March 24, 2009",Betty Fussell,"The distinguished historian Betty Fussell was one of the first American writers to focus on food as a legitimate subject of scientific, social, and anthropological inquiry. In her 1999, The Story of Corn: the Myths and History, the Culture and Agriculture, the Art and Science of America's Quintessential Crop, Fussel used the history of corn to tell a distinctly American story. She also created a genre, now much imitated by other writers, focused on a single foodstuff. Born in 1927 in California and reared there, she has made her home in New York's Greenwich Village for decades. She lives around the corner from James Beard's cooking school run out of his home. Her only contact was a week's worth of classes there, but they share an abiding passion for American food. Her essays in literary journals, major newspapers, national magazines and encyclopedias are written with a grace few food writers can match. She also lectures at museums, universities, state fairs, corn festivals, historical societies and culinary groups. In 1999, her food memoir, My Kitchen Wars, traced her life from her childhoood through her marriage to a college sweetheart, her travails as an academic wife, her own academic career, the women's movement, and her wider success when she found her essential subject: food.",Judith Weinraub,2,2009-03-24,"Fussell discusses the beginning of her career in cooking, including travels, entertaining guests, her class at the Beard school, and creating permanence in food-filled moments and memories through her writing. She also shares anecdotes from her life along the way.",oral histories (literary works),MSS_309.ref23.1,"1 hour, 38 minutes",1:38:47,,,,,https://sites.dlib.nyu.edu/media/api/v0/service/fileserver/av/fales/beard/Fussell_Betty-interview_2/Fussell_Betty-2009_03_24-interview.precision.en.txt,,,,,Cooking;Cooking history;Dinners and dining;Entertainment;Food writing;Gastronomy;Gender,"Hodgson, Moira;Normand, Mabel, 1894-1930;Fussell, Paul, 1924-;Jones, Judith, 1924 -;David, Elizabeth, 1913-1992;Claiborne, Craig;Fussell, Betty Harper;Fisher, M. F. K. (Mary Frances Kennedy), 1908-1992;Beard, James, 1903-1985;Child, Julia;Bocuse, Paul, 1926-","Alfred A. Knopf, Inc.;American Institute of Wine & Food;Ticknor and Fields;Times Books (New York, N.Y.);International Association of Culinary Professionals;Ordre international des disciples d'Auguste Escoffier;Viking Press;Doubleday and Company, Inc.","Paris (France);Greenwich Village (New York, N.Y.);New York, N.Y."
